[10:16:02][dlc.cpp:348]: Invalid supported_version in  file: mod/ugc_2251687872.mod line: 11
[10:16:02][dlc.cpp:348]: Invalid supported_version in  file: mod/ugc_2442026625.mod line: 12
[10:16:47][lexer.cpp:345]: File 'common/religion/religion_families/pendorian.txt' should be in utf8-bom encoding (will try to use it anyways)
[10:16:47][lexer.cpp:345]: File 'common/dynasties/00_dynasties.txt' should be in utf8-bom encoding (will try to use it anyways)
[10:16:49][coat_of_arms_template.cpp:51]: faction_patterns_list is not a valid pattern list:  file: common/coat_of_arms/coat_of_arms/01_random_templates.txt line: 3
[10:16:49][coat_of_arms_template.cpp:260]: charge is not a valid colored emblem list:  file: common/coat_of_arms/coat_of_arms/01_random_templates.txt line: 9
[10:16:49][coat_of_arms_template.cpp:358]: No emblem texture or valid list at:  file: common/coat_of_arms/coat_of_arms/01_random_templates.txt line: 13
[10:16:49][coat_of_arms_template.cpp:51]: christian_emblems_list is not a valid pattern list:  file: common/coat_of_arms/coat_of_arms/01_random_templates.txt line: 17
[10:16:49][coat_of_arms_template.cpp:51]: basic_division is not a valid pattern list:  file: common/coat_of_arms/coat_of_arms/01_random_templates.txt line: 24
[10:16:49][coat_of_arms_template.cpp:260]: charge is not a valid colored emblem list:  file: common/coat_of_arms/coat_of_arms/01_random_templates.txt line: 31
[10:16:49][coat_of_arms_template.cpp:358]: No emblem texture or valid list at:  file: common/coat_of_arms/coat_of_arms/01_random_templates.txt line: 35
[10:16:49][coat_of_arms_template.cpp:51]: basic_division is not a valid pattern list:  file: common/coat_of_arms/coat_of_arms/01_random_templates.txt line: 39
[10:16:49][coat_of_arms_template.cpp:260]: charge is not a valid colored emblem list:  file: common/coat_of_arms/coat_of_arms/01_random_templates.txt line: 46
[10:16:49][coat_of_arms_template.cpp:358]: No emblem texture or valid list at:  file: common/coat_of_arms/coat_of_arms/01_random_templates.txt line: 50
[10:16:49][coat_of_arms_template.cpp:51]: basic_division is not a valid pattern list:  file: common/coat_of_arms/coat_of_arms/01_random_templates.txt line: 54
[10:16:49][coat_of_arms_template.cpp:260]: charge is not a valid colored emblem list:  file: common/coat_of_arms/coat_of_arms/01_random_templates.txt line: 61
[10:16:49][coat_of_arms_template.cpp:358]: No emblem texture or valid list at:  file: common/coat_of_arms/coat_of_arms/01_random_templates.txt line: 66
[10:16:49][coat_of_arms_template.cpp:51]: basic_division is not a valid pattern list:  file: common/coat_of_arms/coat_of_arms/01_random_templates.txt line: 70
[10:16:49][coat_of_arms_template.cpp:260]: charge is not a valid colored emblem list:  file: common/coat_of_arms/coat_of_arms/01_random_templates.txt line: 78
[10:16:49][coat_of_arms_template.cpp:358]: No emblem texture or valid list at:  file: common/coat_of_arms/coat_of_arms/01_random_templates.txt line: 83
[10:16:49][coat_of_arms_template.cpp:51]: basic_division is not a valid pattern list:  file: common/coat_of_arms/coat_of_arms/01_random_templates.txt line: 86
[10:16:49][coat_of_arms_template.cpp:260]: charge is not a valid colored emblem list:  file: common/coat_of_arms/coat_of_arms/01_random_templates.txt line: 91
[10:16:49][coat_of_arms_template.cpp:358]: No emblem texture or valid list at:  file: common/coat_of_arms/coat_of_arms/01_random_templates.txt line: 97
[10:16:49][coat_of_arms_template.cpp:260]: charge is not a valid colored emblem list:  file: common/coat_of_arms/coat_of_arms/01_random_templates.txt line: 105
[10:16:49][coat_of_arms_template.cpp:358]: No emblem texture or valid list at:  file: common/coat_of_arms/coat_of_arms/01_random_templates.txt line: 111
